index,col,importance
0,tripduration,0.220253309302
1,birth_year,0.172987506249
2,starttime_time,0.185586389735
3,docks_y,0.273393837388
4,n1_Battery Park City,0.0035559953083
5,n1_Bedford-Stuyvesant,0.00396687055278
6,n1_Boerum Hill,0.00241250219796
7,n1_Brooklyn Heights,0.00603953193209
8,n1_Central Park,0.00192632247432
9,n1_Chelsea,0.00329329409387
10,n1_Chinatown,0.00177626940831
11,n1_Civic Center,0.00185607542539
12,n1_Clinton Hill,0.00489517897663
13,n1_Columbia St,0.00104042924445
14,n1_DUMBO,0.00299966931853
15,n1_Downtown Brooklyn,0.00444596574259
16,n1_East Village,0.00283295540726
17,n1_Financial District,0.00363552082414
18,n1_Flatiron District,0.00148341832257
19,n1_Fort Greene,0.00609573965873
20,n1_Gramercy,0.00145323832356
21,n1_Greenwich Village,0.00229589512616
22,n1_Hell's Kitchen,0.00351889170165
23,n1_Kips Bay,0.00228349701504
24,n1_Lower East Side,0.00283287916456
25,n1_Midtown,0.00509878061811
26,n1_Murray Hill,0.00222484100048
27,n1_Navy Yard,0.0016047939104
28,n1_NoHo,0.000720364671496
29,n1_Nolita,0.0016630978781
30,n1_Park Slope,0.00150209384373
31,n1_SoHo,0.00172117131484
32,n1_Stuyvesant Town,0.00178332611565
33,n1_Theater District,0.00222393761827
34,n1_Tribeca,0.00314510817784
35,n1_Two Bridges,0.00131568064924
36,n1_Upper East Side,0.000556901048094
37,n1_Upper West Side,0.00147321396931
38,n1_Vinegar Hill,0.00517464222179
39,n1_West Village,0.00221557731711
40,n1_Williamsburg,0.00539229040668
41,gender_1,0.00456558406326
42,gender_2,0.00469621420076
43,day_start_Friday,0.00498787502398
44,day_start_Monday,0.00500413366839
45,day_start_Saturday,0.00546957167384
46,day_start_Sunday,0.00580602757902
47,day_start_Thursday,0.00515051502959
48,day_start_Tuesday,0.00478106811216
49,day_start_Wednesday,0.00486200699528
